title,category,content,price,area,address,district,contact_name,phone,image_path,source_url
"Cho thuê văn phòng 130m2 tại THÀNH CÔNG - Quận Thanh Khê, Đà Nẵng",Văn phòng,"Cho thuê văn phòng diện tích trống cực đẹp 130 m2 tại THÀNH CÔNG.\nĐịa chỉ: 130 Điện Biên Phủ, Thanh Khê, Đà Nẵng\nMức diện tích phù hợp cho quy mô doanh nghiệp vừa và nhỏ.\nGiá thuê ưu đãi: $ 12,0 / m2/tháng.\n\n“Toà nhà văn phòng cho thuê lớn tại phường Thanh Khê, Đà Nẵng”\nToà nhà văn phòng cho thuê quận Thanh Khê tại Đà Nẵng – Toà nhà Thành Công nằm trên đường Điện Biên Phủ, gần hầm chui, khu vực đông đúc, tuyến đường lớn thuộc phường Thanh Khê, thành phố Đà Nẵng.\nToà nhà Thành Công gồm 4 tầng nổi và 1 hầm. Diện tích sử dụng mỗi sàn khoảng 700 – 750 m2 có chia các diện tích 180 m2 – 187 m2 và 320 m2, phù hợp với các công ty lớn, cần 1 sàn rộng để làm văn phòng.\nToà nhà Thành Công có hầm để xe rộng, bên cạnh đó khuôn viên toà nhà có nhiều khoảng trống đáp ứng được số lượng lớn xe máy. của khách hàng khi thuê văn phòng tại đây.\nKết cấu: 4 tầng nổi, 1 tầng hầm\nDiện tích văn phòng cho thuê: 180 – 320 – 750m2\nSố thang máy: 2 thang\nTiền thuê văn phòng: USD 12 /m2/tháng,","$ 12,0 / m2",130,"130 Điện Biên Phủ, Thanh Khê, Đà Nẵng",Thanh Khê,Nguyễn Ngọc Thiên Bình,0935723727,,https://officedanang.vn/property/toa-nha-thanh-cong/
"Cho thuê văn phòng 180m2 tại THÀNH CÔNG - Quận Thanh Khê, Đà Nẵng",Văn phòng,"Cho thuê văn phòng diện tích trống cực đẹp 180 m2 tại THÀNH CÔNG.\nĐịa chỉ: 130 Điện Biên Phủ, Thanh Khê, Đà Nẵng\nMức diện tích phù hợp cho quy mô doanh nghiệp vừa và nhỏ.\nGiá thuê ưu đãi: $ 12,0 / m2/tháng.\n\n“Toà nhà văn phòng cho thuê lớn tại phường Thanh Khê, Đà Nẵng”\nToà nhà văn phòng cho thuê quận Thanh Khê tại Đà Nẵng – Toà nhà Thành Công nằm trên đường Điện Biên Phủ, gần hầm chui, khu vực đông đúc, tuyến đường lớn thuộc phường Thanh Khê, thành phố Đà Nẵng.\nToà nhà Thành Công gồm 4 tầng nổi và 1 hầm. Diện tích sử dụng mỗi sàn khoảng 700 – 750 m2 có chia các diện tích 180 m2 – 187 m2 và 320 m2, phù hợp với các công ty lớn, cần 1 sàn rộng để làm văn phòng.\nToà nhà Thành Công có hầm để xe rộng, bên cạnh đó khuôn viên toà nhà có nhiều khoảng trống đáp ứng được số lượng lớn xe máy. của khách hàng khi thuê văn phòng tại đây.\nKết cấu: 4 tầng nổi, 1 tầng hầm\nDiện tích văn phòng cho thuê: 180 – 320 – 750m2\nSố thang máy: 2 thang\nTiền thuê văn phòng: USD 12 /m2/tháng,","$ 12,0 / m2",180,"130 Điện Biên Phủ, Thanh Khê, Đà Nẵng",Thanh Khê,Nguyễn Ngọc Thiên Bình,0935723727,,https://officedanang.vn/property/toa-nha-thanh-cong/
"Cho thuê văn phòng 320m2 tại THÀNH CÔNG - Quận Thanh Khê, Đà Nẵng",Văn phòng,"Cho thuê văn phòng diện tích trống cực đẹp 320 m2 tại THÀNH CÔNG.\nĐịa chỉ: 130 Điện Biên Phủ, Thanh Khê, Đà Nẵng\nMức diện tích phù hợp cho quy mô doanh nghiệp vừa và nhỏ.\nGiá thuê ưu đãi: $ 12,0 / m2/tháng.\n\n“Toà nhà văn phòng cho thuê lớn tại phường Thanh Khê, Đà Nẵng”\nToà nhà văn phòng cho thuê quận Thanh Khê tại Đà Nẵng – Toà nhà Thành Công nằm trên đường Điện Biên Phủ, gần hầm chui, khu vực đông đúc, tuyến đường lớn thuộc phường Thanh Khê, thành phố Đà Nẵng.\nToà nhà Thành Công gồm 4 tầng nổi và 1 hầm. Diện tích sử dụng mỗi sàn khoảng 700 – 750 m2 có chia các diện tích 180 m2 – 187 m2 và 320 m2, phù hợp với các công ty lớn, cần 1 sàn rộng để làm văn phòng.\nToà nhà Thành Công có hầm để xe rộng, bên cạnh đó khuôn viên toà nhà có nhiều khoảng trống đáp ứng được số lượng lớn xe máy. của khách hàng khi thuê văn phòng tại đây.\nKết cấu: 4 tầng nổi, 1 tầng hầm\nDiện tích văn phòng cho thuê: 180 – 320 – 750m2\nSố thang máy: 2 thang\nTiền thuê văn phòng: USD 12 /m2/tháng,","$ 12,0 / m2",320,"130 Điện Biên Phủ, Thanh Khê, Đà Nẵng",Thanh Khê,Nguyễn Ngọc Thiên Bình,0935723727,,https://officedanang.vn/property/toa-nha-thanh-cong/
"Cho thuê văn phòng 688m2 tại THÀNH CÔNG - Quận Thanh Khê, Đà Nẵng",Văn phòng,"Cho thuê văn phòng diện tích trống cực đẹp 688 m2 tại THÀNH CÔNG.\nĐịa chỉ: 130 Điện Biên Phủ, Thanh Khê, Đà Nẵng\nMức diện tích phù hợp cho quy mô doanh nghiệp vừa và nhỏ.\nGiá thuê ưu đãi: $ 12,0 / m2/tháng.\n\n“Toà nhà văn phòng cho thuê lớn tại phường Thanh Khê, Đà Nẵng”\nToà nhà văn phòng cho thuê quận Thanh Khê tại Đà Nẵng – Toà nhà Thành Công nằm trên đường Điện Biên Phủ, gần hầm chui, khu vực đông đúc, tuyến đường lớn thuộc phường Thanh Khê, thành phố Đà Nẵng.\nToà nhà Thành Công gồm 4 tầng nổi và 1 hầm. Diện tích sử dụng mỗi sàn khoảng 700 – 750 m2 có chia các diện tích 180 m2 – 187 m2 và 320 m2, phù hợp với các công ty lớn, cần 1 sàn rộng để làm văn phòng.\nToà nhà Thành Công có hầm để xe rộng, bên cạnh đó khuôn viên toà nhà có nhiều khoảng trống đáp ứng được số lượng lớn xe máy. của khách hàng khi thuê văn phòng tại đây.\nKết cấu: 4 tầng nổi, 1 tầng hầm\nDiện tích văn phòng cho thuê: 180 – 320 – 750m2\nSố thang máy: 2 thang\nTiền thuê văn phòng: USD 12 /m2/tháng,","$ 12,0 / m2",688,"130 Điện Biên Phủ, Thanh Khê, Đà Nẵng",Thanh Khê,Nguyễn Ngọc Thiên Bình,0935723727,,https://officedanang.vn/property/toa-nha-thanh-cong/
"Cho thuê văn phòng 68m2 tại COZY - Quận Hải Châu, Đà Nẵng",Văn phòng,"Cho thuê văn phòng diện tích trống cực đẹp 68 m2 tại COZY.\nĐịa chỉ: 167 Phan Châu Trinh, Hải Châu, Đà Nẵng\nMức diện tích phù hợp cho quy mô doanh nghiệp vừa và nhỏ.\nGiá thuê ưu đãi: $ 8,0 / m2/tháng.\n\nVăn phòng cho thuê quận Hải Châu – Toà nhà COZY nằm trên đường Phan Châu Trinh, là tuyến đường 1 chiều thuộc Phường Hải Châu, thành phố Đà Nẵng.\nToà nhà gồm 6 tầng nổi và 1 bán hầm. Với thiết kế khá khiêm tốn về chỗ để xe, toà nhà ưu tiên các đơn vị ít nhân sự với tối đa 5 nhân sự cho phòng 30 m2 và tối đa 10 nhân sự cho phòng 68 m2.\nToà nhà COZY cũng bố trí sẵn bàn ghế cho khách hàng, tạo điều kiện thuận lợi hơn đối với các doanh nghiệp start up, giúp tiết kiệm chi phí ban đầu.\nKết cấu toà nhà: 6 tầng nổi, 1 bán hầm\nDiện tích sàn: 150 m2\nKhu vực đậu xe: Tầng bán hầm\nTiền thuê văn phòng: USD 8/m2/tháng\nPhí dịch vụ: Đã bao gồm trong giá thuê","$ 8,0 / m2",68,"167 Phan Châu Trinh, Hải Châu, Đà Nẵng",Hải Châu,Nguyễn Ngọc Thiên Bình,0935723727,,https://officedanang.vn/property/toa-nha-cozy/
"Cho thuê văn phòng 167m2 tại COZY - Quận Hải Châu, Đà Nẵng",Văn phòng,"Cho thuê văn phòng diện tích trống cực đẹp 167 m2 tại COZY.\nĐịa chỉ: 167 Phan Châu Trinh, Hải Châu, Đà Nẵng\nMức diện tích phù hợp cho quy mô doanh nghiệp vừa và nhỏ.\nGiá thuê ưu đãi: $ 8,0 / m2/tháng.\n\nVăn phòng cho thuê quận Hải Châu – Toà nhà COZY nằm trên đường Phan Châu Trinh, là tuyến đường 1 chiều thuộc Phường Hải Châu, thành phố Đà Nẵng.\nToà nhà gồm 6 tầng nổi và 1 bán hầm. Với thiết kế khá khiêm tốn về chỗ để xe, toà nhà ưu tiên các đơn vị ít nhân sự với tối đa 5 nhân sự cho phòng 30 m2 và tối đa 10 nhân sự cho phòng 68 m2.\nToà nhà COZY cũng bố trí sẵn bàn ghế cho khách hàng, tạo điều kiện thuận lợi hơn đối với các doanh nghiệp start up, giúp tiết kiệm chi phí ban đầu.\nKết cấu toà nhà: 6 tầng nổi, 1 bán hầm\nDiện tích sàn: 150 m2\nKhu vực đậu xe: Tầng bán hầm\nTiền thuê văn phòng: USD 8/m2/tháng\nPhí dịch vụ: Đã bao gồm trong giá thuê","$ 8,0 / m2",167,"167 Phan Châu Trinh, Hải Châu, Đà Nẵng",Hải Châu,Nguyễn Ngọc Thiên Bình,0935723727,,https://officedanang.vn/property/toa-nha-cozy/
"Cho thuê văn phòng 270m2 tại AVN - Quận Cẩm Lệ, Đà Nẵng",Văn phòng,"Cho thuê văn phòng diện tích trống cực đẹp 270 m2 tại AVN.\nĐịa chỉ: 270 Xô Viết Nghệ Tĩnh, Cẩm Lệ, Đà Nẵng\nMức diện tích phù hợp cho quy mô doanh nghiệp vừa và nhỏ.\nGiá thuê ưu đãi: $ 8,0 / m2/tháng.\n\n“Toà nhà văn phòng của công ty Kiểm Toán AVN”\nToà nhà văn phòng cho thuê quận Cẩm Lệ – Toà nhà AVN nằm trên đường Xô Viết Nghệ Tĩnh, phường Cẩm Lệ, thành phố Đà Nẵng. Là toà nhà văn phòng của công ty TNHH Kiểm Toán AVN Việt Nam.\nToà nhà AVN gồm 6 tầng nổi và 1 tầng hầm. Diện tích sử dụng mỗi tầng khoảng 101 m2 phù hợp cho các công ty có số lượng nhân sự 15 – 20 người.\nVới mục đích xây dựng trụ sở văn phòng vậy nên toà nhà AVN chỉ sử dụng 1 – 2 tầng còn trống để làm văn phòng cho thuê.\nSố tầng của toà nhà: 6 tầng, 1 hầm\nDiện tích sàn: Khoảng 130m2\nSố tầng hầm: 1 tầng hầm\nSố thang máy: 1 thang","$ 8,0 / m2",270,"270 Xô Viết Nghệ Tĩnh, Cẩm Lệ, Đà Nẵng",Cẩm Lệ,Nguyễn Ngọc Thiên Bình,0935723727,,https://officedanang.vn/property/toa-nha-avn/
"Cho thuê văn phòng 70m2 tại 7 OFFICE 2 - Quận Cẩm Lệ, Đà Nẵng",Văn phòng,"Cho thuê văn phòng diện tích trống cực đẹp 70 m2 tại 7 OFFICE 2.\nĐịa chỉ: 258 Xô Viết Nghệ Tĩnh, Cẩm Lệ, Đà Nẵng\nMức diện tích phù hợp cho quy mô doanh nghiệp vừa và nhỏ.\nGiá thuê ưu đãi: Thỏa thuận/tháng.\n\n“Là toà nhà văn phòng cho thuê thứ 2 thuộc quản lý của Công ty TNHH 7OFFICE”\nToà nhà văn phòng cho thuê quận Cẩm Lệ – Toà nhà 7 OFFICE 2 nằm trên đường Xô Viết Nghệ Tĩnh – tuyến đường tập trung rất nhiều toà nhà văn phòng cho thuê tại Đà Nẵng.\nToà nhà 7 OFFICE 2 gồm 6 tầng với diện tích sử dụng mỗi sàn ~ 100 m2 được chia làm 2 phòng. Phòng phía trước với diện tích 70 m2, phù hợp cho các đơn vị 10 – 15 nhân sự. Phòng phía sau 30 m2 thích hợp cho các công ty start up, các đơn vị số lượng nhân sự không quá 5 người. Các văn phòng tại toà nhà đều được bố trí cửa sổ nhằm lấy sáng và lấy khí tự nhiên.\nSố tầng của toà nhà: 6 tầng\nDiện tích sàn: Khoảng 150m2\nSố tầng hầm: Không có tầng hầm\nSố thang máy: 1 thang\nChi phí quản lý của tòa nhà;",Thỏa thuận,70,"258 Xô Viết Nghệ Tĩnh, Cẩm Lệ, Đà Nẵng",Cẩm Lệ,Nguyễn Ngọc Thiên Bình,0935723727,,https://officedanang.vn/property/toa-nha-7-office-2/
"Cho thuê văn phòng 258m2 tại 7 OFFICE 2 - Quận Cẩm Lệ, Đà Nẵng",Văn phòng,"Cho thuê văn phòng diện tích trống cực đẹp 258 m2 tại 7 OFFICE 2.\nĐịa chỉ: 258 Xô Viết Nghệ Tĩnh, Cẩm Lệ, Đà Nẵng\nMức diện tích phù hợp cho quy mô doanh nghiệp vừa và nhỏ.\nGiá thuê ưu đãi: Thỏa thuận/tháng.\n\n“Là toà nhà văn phòng cho thuê thứ 2 thuộc quản lý của Công ty TNHH 7OFFICE”\nToà nhà văn phòng cho thuê quận Cẩm Lệ – Toà nhà 7 OFFICE 2 nằm trên đường Xô Viết Nghệ Tĩnh – tuyến đường tập trung rất nhiều toà nhà văn phòng cho thuê tại Đà Nẵng.\nToà nhà 7 OFFICE 2 gồm 6 tầng với diện tích sử dụng mỗi sàn ~ 100 m2 được chia làm 2 phòng. Phòng phía trước với diện tích 70 m2, phù hợp cho các đơn vị 10 – 15 nhân sự. Phòng phía sau 30 m2 thích hợp cho các công ty start up, các đơn vị số lượng nhân sự không quá 5 người. Các văn phòng tại toà nhà đều được bố trí cửa sổ nhằm lấy sáng và lấy khí tự nhiên.\nSố tầng của toà nhà: 6 tầng\nDiện tích sàn: Khoảng 150m2\nSố tầng hầm: Không có tầng hầm\nSố thang máy: 1 thang\nChi phí quản lý của tòa nhà;",Thỏa thuận,258,"258 Xô Viết Nghệ Tĩnh, Cẩm Lệ, Đà Nẵng",Cẩm Lệ,Nguyễn Ngọc Thiên Bình,0935723727,,https://officedanang.vn/property/toa-nha-7-office-2/
"Cho thuê văn phòng 6m2 tại DŨNG TRÂM - Quận Hải Châu, Đà Nẵng",Văn phòng,"Cho thuê văn phòng diện tích trống cực đẹp 6 m2 tại DŨNG TRÂM.\nĐịa chỉ: 06 Xô Viết Nghệ Tĩnh, Hoà Cường, Đà Nẵng\nMức diện tích phù hợp cho quy mô doanh nghiệp vừa và nhỏ.\nGiá thuê ưu đãi: Thỏa thuận/tháng.\n\n“Tòa nhà văn phòng cho thuê quy mô nhỏ trên đường Xô Viết Nghệ Tĩnh”\nToà nhà văn phòng cho thuê quận Hải Châu – Toà nhà DŨNG TRÂM nằm trên đường Xô Viết Nghệ Tĩnh, ngay gần ngã tư Xô Viết Nghệ Tĩnh – 2/9, là nút giao thông trọng điểm giữa phường Hoà Cường và phường Cẩm Lệ.\nToà nhà DŨNG TRÂM là toà nhà hạng C, có quy mô khá nhỏ, diện tích sử dụng mỗi sàn khoảng 75 m2, thích hợp cho các đơn vị có số lượng nhân sự không quá 15 người.\nTuy quy mô khá nhỏ nhưng ngoài khu vực tầng hầm dùng cho việc để xe, toà nhà Dũng Trâm còn có thêm 1 bãi để xe ngay bên cạnh toà nhà, đáp ứng nhu cầu để xe cho các khách hàng thuê văn phòng tại đây.\nTầng 1 của toà nhà được sử dụng để làm showroom các trang thiệt bị nhà tắm, toà nhà không bố trí khu vực lễ tân. Tuy nhiên, ngoài lối vào từ tầng hầm, khách hàng cũng có thể sử dụng tầng 1 để lên các tầng trên.\nSố tầng của toà nhà: 09 tầng nổi, 1 hầm\nDiện tích sàn: 100 m2\nBãi để xe: Tầng hầm + Bãi bên cạnh",Thỏa thuận,6,"06 Xô Viết Nghệ Tĩnh, Hoà Cường, Đà Nẵng",Hải Châu,Nguyễn Ngọc Thiên Bình,0935723727,,https://officedanang.vn/property/toa-nha-dung-tram/
